osha_establishment_id,cms_ccn,tier,name_score,addr_score,hno_match,zip_match
1339006,015010,A,1.0,1.0,True,True
1524477,015014,A,1.0,1.0,True,True
1036324,015015,A,1.0,1.0,True,True
1213669,015016,A,1.0,1.0,True,True
1492765,015019,A,1.0,1.0,True,True
1100891,015024,A,1.0,1.0,True,True
1213743,015027,A,1.0,1.0,True,True
1474233,015028,A,1.0,1.0,True,True
139471,015031,A,1.0,1.0,True,False
75289,015032,A,1.0,1.0,True,True
75316,015040,A,1.0,1.0,True,True
1213735,015042,A,1.0,1.0,True,True
1213715,015047,A,1.0,1.0,True,True
1100335,015048,A,1.0,1.0,True,True
1128652,015049,A,1.0,1.0,True,True
75280,015063,A,1.0,1.0,True,True
1213726,015065,A,1.0,1.0,True,True
743715,015076,A,1.0,1.0,True,True
329710,015084,A,1.0,1.0,True,True
1459045,015089,A,1.0,1.0,True,True
1523092,015091,A,1.0,1.0,True,True
1213731,015097,A,1.0,1.0,True,True
1128127,015098,A,1.0,1.0,True,True
1344823,015100,A,1.0,1.0,True,True
1213661,015103,A,1.0,1.0,True,True
1417856,015104,A,1.0,1.0,True,True
1213671,015109,A,1.0,1.0,True,True
326624,015111,A,1.0,1.0,True,True
1534049,015114,A,1.0,1.0,True,False
1213673,015115,A,1.0,1.0,True,True
1417700,015116,A,1.0,1.0,True,True
1069881,015120,A,1.0,1.0,True,True
1458809,015121,A,1.0,1.0,True,True
1437060,015126,A,1.0,1.0,True,True
1494861,015127,A,1.0,0.903,True,True
1254402,015128,A,1.0,1.0,True,True
1458808,015129,A,1.0,1.0,True,True
75328,015132,A,1.0,1.0,True,True
1523159,015134,A,1.0,1.0,True,True
661215,015135,A,1.0,1.0,True,True
1493201,015136,A,1.0,1.0,True,True
1213698,015138,A,1.0,1.0,True,True
1213736,015139,A,1.0,1.0,True,True
725508,015141,A,1.0,1.0,True,True
1213709,015142,A,1.0,1.0,True,True
1294413,015144,A,1.0,1.0,True,True
1468451,015147,A,1.0,1.0,True,True
1289508,015152,A,1.0,1.0,True,False
1147011,015155,A,1.0,1.0,True,True
1459040,015156,A,0.938,1.0,True,True
1503074,015157,A,1.0,1.0,True,True
1115472,015158,A,1.0,1.0,True,True
75321,015159,A,1.0,1.0,True,True
915418,015162,A,1.0,1.0,True,True
191486,015163,A,1.0,1.0,True,False
542692,015168,A,1.0,1.0,True,True
1460923,015169,A,1.0,1.0,True,True
1468073,015174,A,1.0,1.0,True,True
213259,015177,A,1.0,1.0,True,True
1379411,015180,A,1.0,1.0,True,True
1213687,015182,A,1.0,0.933,True,True
1514853,015183,A,1.0,1.0,True,True
1213688,015186,A,1.0,1.0,True,True
1344502,015188,A,1.0,1.0,True,True
75333,015189,A,1.0,1.0,True,True
1180714,015191,A,1.0,1.0,True,True
957959,015192,A,1.0,1.0,True,True
736054,015193,A,1.0,1.0,True,True
143686,015194,A,1.0,1.0,True,True
75311,015196,A,1.0,1.0,True,True
1339186,015197,A,1.0,0.909,True,True
1530937,015199,A,1.0,1.0,True,True
1431295,015200,A,1.0,1.0,True,True
878054,015202,A,1.0,1.0,True,False
1339185,015204,A,1.0,1.0,True,True
1417990,015206,A,1.0,1.0,True,False
171563,015207,A,1.0,1.0,True,True
1213720,015208,A,1.0,1.0,True,True
75271,015209,A,1.0,1.0,True,False
1213718,015210,A,1.0,1.0,True,True
1434651,015212,A,1.0,1.0,True,True
234432,015214,A,1.0,1.0,True,True
901595,015216,A,1.0,1.0,True,True
1440259,015217,A,1.0,1.0,True,True
1459721,015220,A,1.0,1.0,True,True
1338957,015221,A,1.0,1.0,True,True
1128715,015222,A,1.0,0.929,True,True
1080807,015223,A,1.0,1.0,True,True
805823,015225,A,1.0,1.0,True,True
1213729,015321,A,1.0,1.0,True,True
1459044,015322,A,1.0,1.0,True,True
1213723,015326,A,1.0,1.0,True,True
734073,015371,A,1.0,1.0,True,True
1115385,015376,A,1.0,1.0,True,True
1470822,015378,A,1.0,1.0,True,True
1417752,015382,A,1.0,1.0,True,True
1443565,015383,A,1.0,1.0,True,False
1128447,015388,A,1.0,1.0,True,True
1508888,015390,A,1.0,1.0,True,True
1213702,015391,A,1.0,0.97,True,True
1459041,015393,A,1.0,1.0,True,True
1115452,015396,A,1.0,1.0,True,True
1115211,015397,A,1.0,1.0,True,True
1416999,015398,A,1.0,1.0,True,True
1147081,015402,A,1.0,0.976,True,True
1213721,015403,A,1.0,1.0,True,True
1115518,015404,A,0.6,1.0,True,True
915432,015408,A,1.0,1.0,True,True
932352,015411,A,1.0,1.0,True,True
698265,015416,A,1.0,1.0,True,True
1459042,015417,A,1.0,1.0,True,True
1115501,015419,A,1.0,1.0,True,True
1344482,015426,A,1.0,1.0,True,True
909448,015429,A,1.0,1.0,True,True
1213737,015431,A,1.0,1.0,True,True
1115394,015433,A,1.0,1.0,True,True
1184275,015437,A,1.0,0.909,True,True
1213701,015440,A,1.0,1.0,True,True
1022611,015448,A,1.0,1.0,True,True
1213686,015451,A,1.0,1.0,True,True
934915,015452,A,1.0,1.0,True,True
1213672,015453,A,1.0,1.0,True,True
1213690,015456,A,1.0,1.0,True,True
1524476,015458,A,1.0,0.923,True,True
1447744,015460,A,1.0,1.0,True,True
1213708,015461,A,1.0,1.0,True,True
1213663,015464,A,1.0,1.0,True,True
1213666,015465,A,1.0,1.0,True,True
1468845,015467,A,1.0,1.0,True,True
1213662,015468,A,1.0,1.0,True,True
192089,01A208,A,1.0,1.0,True,True
1524409,025018,A,1.0,1.0,True,True
1527390,025036,A,1.0,1.0,True,True
910389,025038,A,1.0,0.889,True,True
910391,025039,A,1.0,0.958,True,True
1524436,035004,A,1.0,1.0,True,True
1524259,035014,A,1.0,1.0,True,True
1524413,035068,A,1.0,1.0,True,True
1524228,035070,A,1.0,1.0,True,True
1524357,035071,A,1.0,1.0,True,True
1524399,035072,A,1.0,1.0,True,True
1524376,035076,A,1.0,1.0,True,True
1524290,035083,A,1.0,1.0,True,True
1182529,035084,A,1.0,1.0,True,True
1524223,035088,A,1.0,1.0,True,True
1524212,035092,A,1.0,0.938,True,True
182007,035097,A,1.0,1.0,True,True
899940,035099,A,1.0,1.0,True,True
1524233,035101,A,1.0,1.0,True,True
1524238,035103,A,1.0,1.0,True,True
1524441,035105,A,1.0,1.0,True,True
1524471,035106,A,1.0,1.0,True,True
1524468,035110,A,1.0,1.0,True,True
1524312,035111,A,1.0,1.0,True,True
1511263,035112,A,1.0,1.0,True,True
976854,035120,A,1.0,1.0,True,True
1410160,035121,A,0.667,1.0,True,True
1361791,035126,A,1.0,1.0,True,True
1524283,035131,A,1.0,1.0,True,True
1524249,035132,A,1.0,1.0,True,True
1049891,035133,A,1.0,1.0,True,True
1524360,035135,A,1.0,1.0,True,True
1321538,035140,A,1.0,1.0,True,True
626419,035141,A,1.0,1.0,True,True
1524398,035144,A,1.0,1.0,True,True
1524503,035147,A,1.0,1.0,True,True
1524433,035151,A,1.0,1.0,True,True
1446424,035152,A,1.0,1.0,True,True
1524298,035159,A,1.0,1.0,True,True
1524257,035164,A,1.0,1.0,True,True
1524267,035166,A,1.0,0.857,True,True
1524198,035171,A,1.0,1.0,True,True
1524387,035174,A,0.842,1.0,True,True
1524420,035183,A,1.0,1.0,True,True
1524310,035189,A,1.0,1.0,True,True
1524229,035190,A,1.0,1.0,True,True
1524239,035193,A,1.0,1.0,True,True
1524455,035207,A,1.0,1.0,True,True
1520847,035225,A,1.0,1.0,True,True
1524361,035232,A,1.0,1.0,True,True
1524452,035241,A,1.0,1.0,True,False
1524469,035245,A,1.0,1.0,True,True
1148764,035247,A,1.0,1.0,True,True
182235,035249,A,0.933,1.0,True,True
1524422,035251,A,1.0,1.0,True,True
1557910,035255,A,1.0,1.0,True,True
628380,035257,A,1.0,1.0,True,True
1524274,035260,A,1.0,1.0,True,True
181995,035262,A,1.0,1.0,True,True
1512064,035266,A,1.0,1.0,True,True
1509654,035268,A,0.973,1.0,True,True
1508544,035270,A,1.0,1.0,True,True
1435899,035275,A,1.0,1.0,True,True
1524510,035285,A,1.0,1.0,True,True
1185255,035289,A,1.0,0.923,True,True
1026868,035291,A,1.0,1.0,True,True
910156,035292,A,1.0,1.0,True,True
1490179,035295,A,1.0,1.0,True,True
1459017,035296,A,1.0,1.0,True,True
1524470,035297,A,1.0,1.0,True,True
1410144,035299,A,0.64,1.0,True,True
1435447,045098,A,1.0,1.0,True,True
1437221,045146,A,1.0,1.0,True,True
1213733,045167,A,1.0,0.909,True,True
61438,045173,A,1.0,1.0,True,True
61440,045196,A,1.0,1.0,True,True
61411,045201,A,1.0,0.897,True,True
61442,045209,A,0.857,1.0,True,True
856570,045212,A,1.0,1.0,True,True
61417,045218,A,1.0,1.0,True,True
1213685,045220,A,1.0,0.952,True,True
61407,045241,A,1.0,1.0,True,True
1436113,045242,A,1.0,1.0,True,True
61437,045248,A,1.0,1.0,True,True
1434103,045254,A,1.0,1.0,True,True
807166,045259,A,1.0,1.0,True,True
1213707,045267,A,1.0,0.88,True,True
134409,045268,A,1.0,1.0,True,True
1266710,045269,A,1.0,1.0,True,True
440391,045271,A,1.0,1.0,True,True
61444,045280,A,1.0,0.923,True,True
1081168,045295,A,1.0,1.0,True,True
1213722,045300,A,1.0,0.87,True,True
291097,045303,A,1.0,1.0,True,True
61405,045304,A,1.0,1.0,True,True
61418,045308,A,1.0,1.0,True,True
1089316,045313,A,1.0,1.0,True,True
556116,045315,A,1.0,1.0,True,True
1065122,045317,A,1.0,1.0,True,True
1038618,045318,A,1.0,1.0,True,True
61433,045322,A,1.0,1.0,True,True
1310080,045323,A,1.0,1.0,True,True
1261930,045326,A,1.0,1.0,True,True
61435,045327,A,1.0,1.0,True,True
942896,045334,A,1.0,1.0,True,True
65134,045337,A,1.0,1.0,True,True
997104,045338,A,1.0,1.0,True,True
136392,045339,A,1.0,1.0,True,True
651302,045340,A,1.0,1.0,True,True
1432306,045342,A,1.0,1.0,True,True
1473204,045343,A,1.0,0.944,True,True
1434265,045345,A,1.0,1.0,True,True
1431321,045346,A,1.0,1.0,True,True
61412,045352,A,1.0,1.0,True,True
806119,045359,A,1.0,1.0,True,True
941031,045361,A,1.0,1.0,True,True
1213674,045363,A,1.0,1.0,True,True
1031596,045364,A,1.0,1.0,True,True
556033,045366,A,1.0,0.968,True,False
61446,045367,A,1.0,1.0,True,True
61428,045369,A,1.0,1.0,True,True
61447,045371,A,1.0,1.0,True,True
1347960,045372,A,1.0,1.0,True,True
61441,045380,A,1.0,1.0,True,True
141505,045384,A,0.889,0.97,True,True
858583,045385,A,1.0,1.0,True,True
61439,045392,A,1.0,1.0,True,True
989280,045393,A,1.0,1.0,True,True
61436,045394,A,1.0,1.0,True,True
61430,045398,A,1.0,1.0,True,True
61427,045407,A,1.0,0.98,True,True
61406,045408,A,1.0,1.0,True,True
133112,045409,A,1.0,1.0,True,True
267157,045410,A,1.0,1.0,True,True
987304,045412,A,1.0,1.0,True,True
903510,045413,A,1.0,1.0,True,True
156358,045414,A,1.0,1.0,True,True
1288521,045418,A,1.0,1.0,True,True
921182,045419,A,1.0,1.0,True,True
61425,045422,A,1.0,1.0,True,True
599792,045427,A,1.0,1.0,True,True
561216,045428,A,1.0,1.0,True,True
61410,045433,A,1.0,0.875,True,True
61422,045434,A,1.0,1.0,True,True
1451212,045435,A,1.0,0.938,True,True
555984,045439,A,1.0,1.0,True,True
556019,045440,A,1.0,1.0,True,True
894758,045441,A,1.0,1.0,True,True
1468757,045442,A,1.0,1.0,True,True
1114693,045443,A,1.0,1.0,True,True
919249,045445,A,1.0,1.0,True,True
1337258,045446,A,1.0,1.0,True,True
858730,045450,A,1.0,1.0,True,True
1425220,045452,A,1.0,1.0,True,True
918100,045453,A,1.0,1.0,True,True
61413,045457,A,1.0,1.0,True,True
1433987,045458,A,1.0,1.0,True,True
1427586,045463,A,1.0,1.0,True,True
284712,045464,A,1.0,1.0,True,True
925241,045465,A,1.0,1.0,True,True
952362,045467,A,1.0,1.0,True,True
1338938,045470,A,1.0,1.0,True,True
561258,045471,A,1.0,1.0,True,True
1200203,045476,A,1.0,1.0,True,True
165085,045477,A,1.0,1.0,True,True
675214,045480,A,1.0,1.0,True,True
854432,045481,A,1.0,1.0,True,True
1508564,055001,A,1.0,1.0,True,True
406907,055013,A,1.0,0.941,True,True
1524268,055014,A,1.0,1.0,True,True
682843,055022,A,0.917,1.0,True,True
1069931,055045,A,1.0,1.0,True,True
453957,055052,A,1.0,0.974,True,True
1535485,055064,A,1.0,0.941,True,True
1524384,055067,A,1.0,1.0,True,True
1214122,055079,A,1.0,1.0,True,True
1514249,055092,A,1.0,1.0,True,True
695501,055093,A,1.0,1.0,True,True
1433160,055099,A,1.0,1.0,True,True
1254398,055109,A,1.0,1.0,True,True
1524282,055129,A,1.0,1.0,True,True
405074,055135,A,1.0,1.0,True,True
1524337,055141,A,1.0,1.0,True,True
496054,055142,A,1.0,0.867,True,True
1503000,055150,A,1.0,1.0,True,True
987925,055153,A,1.0,1.0,True,True
683163,055157,A,1.0,1.0,True,True
563441,055170,A,1.0,1.0,True,True
1524333,055182,A,1.0,1.0,True,True
1524276,055187,A,1.0,1.0,True,True
1399547,055192,A,0.93,1.0,True,True
1468423,055212,A,1.0,1.0,True,True
1068848,055213,A,1.0,1.0,True,True
1117766,055222,A,1.0,1.0,True,True
1524501,055237,A,1.0,1.0,True,True
803496,055240,A,1.0,1.0,True,True
1524269,055242,A,1.0,1.0,True,True
1535809,055255,A,1.0,1.0,True,True
1449428,055259,A,0.64,0.947,True,True
1524335,055262,A,1.0,1.0,True,True
1538356,055268,A,1.0,1.0,True,True
1522624,055276,A,1.0,1.0,True,True
1508330,055280,A,1.0,1.0,True,True
461742,055288,A,1.0,1.0,True,True
968943,055296,A,1.0,1.0,True,True
1507662,055299,A,1.0,1.0,True,True
1198049,055305,A,1.0,1.0,True,True
1051867,055307,A,1.0,1.0,True,False
1118880,055311,A,1.0,1.0,True,True
1465649,055315,A,1.0,1.0,True,True
1224699,055316,A,1.0,1.0,True,True
1098328,055318,A,1.0,1.0,True,True
1534533,055335,A,1.0,1.0,True,True
1290099,055341,A,0.6,1.0,True,True
1524443,055353,A,1.0,0.903,True,True
676277,055356,A,1.0,1.0,True,True
1400636,055364,A,1.0,1.0,True,True
1514863,055372,A,0.952,1.0,True,True
1524496,055374,A,1.0,1.0,True,True
1524241,055394,A,1.0,1.0,True,False
1198043,055417,A,1.0,1.0,True,True
943786,055430,A,1.0,1.0,True,True
1558102,055457,A,1.0,1.0,True,False
346787,055475,A,1.0,1.0,True,True
1295056,055480,A,1.0,1.0,True,True
1198005,055491,A,1.0,1.0,True,True
1501756,055497,A,1.0,1.0,True,True
1524205,055505,A,1.0,1.0,True,True
1103639,055517,A,1.0,1.0,True,True
1134749,055519,A,1.0,0.952,True,True
1316487,055525,A,1.0,1.0,True,True
495933,055526,A,1.0,1.0,True,True
1329759,055531,A,1.0,1.0,True,True
405658,055539,A,1.0,1.0,True,True
815682,055540,A,1.0,1.0,True,True
1452875,055541,A,1.0,1.0,True,True
1502809,055551,A,1.0,0.88,True,True
1383344,055557,A,1.0,1.0,True,True
1502821,055568,A,1.0,0.857,True,True
1134837,055570,A,1.0,1.0,True,True
1524771,055573,A,1.0,1.0,True,True
1524380,055575,A,1.0,1.0,True,True
1501814,055581,A,1.0,1.0,True,True
1500684,055604,A,1.0,1.0,True,True
1229259,055608,A,1.0,1.0,True,True
1455137,055626,A,1.0,1.0,True,True
1054277,055632,A,1.0,1.0,True,True
1467729,055645,A,1.0,1.0,True,True
1456001,055646,A,1.0,1.0,True,False
1493008,055649,A,1.0,1.0,True,True
1236749,055670,A,1.0,1.0,True,True
1134834,055689,A,1.0,1.0,True,True
1524374,055706,A,1.0,0.878,True,True
1014453,055708,A,1.0,1.0,True,True
1015410,055734,A,1.0,1.0,True,True
1524207,055744,A,1.0,1.0,True,True
982549,055748,A,1.0,1.0,True,True
1540134,055750,A,1.0,1.0,True,True
923917,055753,A,0.872,0.952,True,True
1524243,055756,A,1.0,1.0,True,True
1503402,055776,A,1.0,0.9,True,False
1467996,055797,A,1.0,1.0,True,True
1522583,055798,A,1.0,1.0,True,True
1183859,055800,A,1.0,1.0,True,True
1502684,055806,A,1.0,1.0,True,True
1068844,055818,A,1.0,1.0,True,True
1524504,055830,A,1.0,0.944,True,True
739124,055833,A,1.0,1.0,True,True
1269425,055839,A,1.0,1.0,True,True
1441643,055850,A,0.947,1.0,True,True
1514470,055853,A,1.0,1.0,True,True
1516917,055854,A,1.0,1.0,True,True
1508546,055855,A,1.0,1.0,True,True
1339197,055862,A,1.0,1.0,True,True
1080002,055884,A,1.0,1.0,True,True
1509877,055885,A,1.0,1.0,True,True
1503673,055886,A,1.0,1.0,True,True
453960,055887,A,1.0,1.0,True,True
1524338,055890,A,1.0,1.0,True,True
1134633,055894,A,1.0,1.0,True,True
1068845,055899,A,1.0,1.0,True,True
1524250,055922,A,1.0,1.0,True,True
346807,055935,A,1.0,0.909,True,True
912667,055955,A,0.8,0.927,True,True
968936,055956,A,1.0,1.0,True,True
1498442,055959,A,1.0,1.0,True,True
1434691,055960,A,0.957,1.0,True,True
1290604,055962,A,1.0,1.0,True,True
1296826,055963,A,1.0,1.0,True,True
1229302,055977,A,1.0,1.0,True,True
1448307,055979,A,1.0,1.0,True,True
1524216,055987,A,1.0,1.0,True,True
1185361,055988,A,1.0,0.941,True,False
1524218,056014,A,1.0,1.0,True,True
1502602,056021,A,1.0,1.0,True,True
1504178,056024,A,1.0,1.0,True,True
