state,cases,establishments,handling,violence,handling_share,violence_share,handling_days_away,handling_days_restricted,violence_days_away,violence_days_restricted
NY,2155,220,352,292,0.163,0.135,8563,2178,5222,366
FL,1766,281,348,194,0.197,0.11,2825,9477,1223,2390
CA,1689,227,433,180,0.256,0.107,5484,11075,452,1056
IL,1306,194,220,122,0.168,0.093,2887,4370,1016,1373
PA,1290,175,289,131,0.224,0.102,2374,7776,691,2605
TX,1235,318,278,143,0.225,0.116,1366,5869,366,1637
MI,1190,196,273,85,0.229,0.071,2083,6859,111,505
OH,1023,231,162,68,0.158,0.066,796,2291,159,542
NJ,1005,124,201,105,0.2,0.104,1074,5531,797,1624
MN,865,105,196,41,0.227,0.047,2039,5573,345,435
AL,776,103,167,72,0.215,0.093,769,4731,550,630
CT,739,79,162,61,0.219,0.083,2533,3430,729,648
MA,661,114,127,73,0.192,0.11,3530,1141,598,102
NC,595,118,114,42,0.192,0.071,345,2401,211,556
WA,581,71,183,41,0.315,0.071,2361,4498,387,421
IN,503,134,109,40,0.217,0.08,330,3256,37,708
TN,494,87,126,20,0.255,0.04,1180,1900,9,397
KY,447,93,115,35,0.257,0.078,1186,1979,91,223
IA,397,63,104,27,0.262,0.068,385,3277,35,472
MD,393,42,85,29,0.216,0.074,1225,1253,311,155
WI,375,72,125,19,0.333,0.051,1237,3521,12,190
OR,366,54,113,20,0.309,0.055,723,2702,100,226
VA,359,71,82,29,0.228,0.081,482,1558,223,347
SC,335,60,57,27,0.17,0.081,507,2155,224,344
CO,333,57,78,14,0.234,0.042,1035,2325,28,221
ME,311,22,81,18,0.26,0.058,210,2304,140,348
MO,267,53,54,14,0.202,0.052,200,989,38,372
NE,261,43,81,17,0.31,0.065,1004,1134,50,131
AR,246,42,55,10,0.224,0.041,287,1495,9,149
GA,237,39,34,31,0.143,0.131,277,828,147,708
UT,229,36,71,12,0.31,0.052,241,1455,26,99
LA,227,69,54,25,0.238,0.11,800,279,15,0
NV,210,24,33,29,0.157,0.138,24,869,12,93
AZ,199,52,38,8,0.191,0.04,183,844,0,205
ND,180,23,42,14,0.233,0.078,256,584,49,62
OK,151,27,19,3,0.126,0.02,128,323,1,28
RI,125,21,39,15,0.312,0.12,1066,453,389,138
SD,107,16,26,5,0.243,0.047,56,927,24,123
KS,105,30,22,4,0.21,0.038,12,308,0,8
ID,95,21,21,2,0.221,0.021,59,868,1,27
MS,87,22,14,8,0.161,0.092,97,235,8,22
WY,61,7,17,5,0.279,0.082,103,556,178,187
MT,50,4,12,4,0.24,0.08,303,306,0,96
AK,46,7,13,3,0.283,0.065,221,280,0,0
NM,44,9,9,3,0.205,0.068,102,110,89,47
HI,42,9,12,3,0.286,0.071,646,0,199,35
WV,41,11,10,0,0.244,0.0,540,115,0,0
DE,36,5,8,7,0.222,0.194,40,347,15,0
VT,32,4,7,3,0.219,0.094,128,44,72,71
NH,19,3,8,3,0.421,0.158,0,252,13,0
DC,6,2,1,3,0.167,0.5,24,0,33,77
